Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Kimi Räikkönen,3,Sebastian Vettel,2
Mercedes,2,6,Valtteri Bottas,5,Lewis Hamilton,4
Sauber,3,4,Marcus Ericsson,9,Charles Leclerc,7
Williams,4,3,Sergey Sirotkin,13,Lance Stroll,12
Toro Rosso,5,2,Brendon Hartley,14,Pierre Gasly,10
Haas,6,1,Romain Grosjean,16,Kevin Magnussen,15
Red Bull,7,0,,,Max Verstappen,1
Renault,8,0,,,Nico Hülkenberg,6
McLaren,9,0,,,Stoffel Vandoorne,8
Force India,10,0,,,Esteban Ocon,11
