Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Daniel Ricciardo,4,Max Verstappen,3
Mercedes,2,6,Lewis Hamilton,5,Valtteri Bottas,2
Ferrari,3,4,Kimi Räikkönen,6,Sebastian Vettel,1
Renault,4,3,Carlos Sainz Jr.,8,Nico Hülkenberg,7
Haas,5,2,Kevin Magnussen,13,Romain Grosjean,12
Force India,6,1,Sergio Pérez,14,Esteban Ocon,9
Sauber,7,0,Marcus Ericsson,15,Charles Leclerc,10
Toro Rosso,8,0,,,Pierre Gasly,11
McLaren,9,0,,,Stoffel Vandoorne,16
Williams,10,0,,,Sergey Sirotkin,17
