Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Kimi Räikkönen,4,Sebastian Vettel,2
Mercedes,2,6,Valtteri Bottas,5,Lewis Hamilton,3
Red Bull,3,4,Max Verstappen,9,Daniel Ricciardo,1
Renault,4,3,Carlos Sainz Jr.,10,Nico Hülkenberg,8
Force India,5,2,Sergio Pérez,12,Esteban Ocon,6
Haas,6,1,Romain Grosjean,15,Kevin Magnussen,13
Williams,7,0,Lance Stroll,17,Sergey Sirotkin,16
Sauber,8,0,Charles Leclerc,18,Marcus Ericsson,11
Toro Rosso,9,0,Brendon Hartley,19,Pierre Gasly,7
McLaren,10,0,,,Stoffel Vandoorne,14
