Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,4,Lewis Hamilton,1
Ferrari,2,6,Kimi Räikkönen,5,Sebastian Vettel,3
Red Bull,3,4,Daniel Ricciardo,6,Max Verstappen,2
Renault,4,3,Nico Hülkenberg,10,Carlos Sainz Jr.,8
Sauber,5,2,Marcus Ericsson,11,Charles Leclerc,9
McLaren,6,1,Stoffel Vandoorne,12,Fernando Alonso,7
Toro Rosso,7,0,Brendon Hartley,17,Pierre Gasly,13
Haas,8,0,Kevin Magnussen,18,Romain Grosjean,15
Williams,9,0,Sergey Sirotkin,19,Lance Stroll,14
Force India,10,0,,,Sergio Pérez,16
