Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,4,Lewis Hamilton,2
Force India,2,6,Esteban Ocon,6,Sergio Pérez,5
Haas,3,4,Kevin Magnussen,8,Romain Grosjean,7
Williams,4,3,Lance Stroll,13,Sergey Sirotkin,12
Toro Rosso,5,2,Brendon Hartley,14,Pierre Gasly,9
Ferrari,6,1,,,Sebastian Vettel,1
Red Bull,7,0,,,Max Verstappen,3
Sauber,8,0,,,Marcus Ericsson,10
Renault,9,0,,,Carlos Sainz Jr.,11
McLaren,10,0,,,Stoffel Vandoorne,15
