Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,1
Ferrari,2,6,Sebastian Vettel,4,Kimi Räikkönen,2
Force India,3,4,Sergio Pérez,7,Esteban Ocon,6
Williams,4,3,Sergey Sirotkin,10,Lance Stroll,9
Renault,5,2,Nico Hülkenberg,13,Carlos Sainz Jr.,8
Sauber,6,1,Marcus Ericsson,15,Charles Leclerc,11
Red Bull,7,0,,,Max Verstappen,5
McLaren,8,0,,,Stoffel Vandoorne,12
Toro Rosso,9,0,,,Pierre Gasly,14
Haas,10,0,,,Kevin Magnussen,16
