Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,4,Valtteri Bottas,2
Red Bull,2,6,Max Verstappen,5,Daniel Ricciardo,1
Ferrari,3,4,Sebastian Vettel,8,Kimi Räikkönen,3
Renault,4,3,Carlos Sainz Jr.,9,Nico Hülkenberg,6
Force India,5,2,Sergio Pérez,12,Esteban Ocon,11
McLaren,6,1,Stoffel Vandoorne,13,Fernando Alonso,7
Williams,7,0,Sergey Sirotkin,15,Lance Stroll,14
Haas,8,0,Romain Grosjean,17,Kevin Magnussen,10
Sauber,9,0,Charles Leclerc,19,Marcus Ericsson,16
Toro Rosso,10,0,Brendon Hartley,20,Pierre Gasly,18
