Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Daniel Ricciardo,4,Daniil Kvyat,3
Ferrari,2,6,Kimi Räikkönen,5,Sebastian Vettel,2
Mercedes,3,4,Lewis Hamilton,7,Nico Rosberg,1
Toro Rosso,4,3,Carlos Sainz Jr.,9,Max Verstappen,8
Williams,5,2,Valtteri Bottas,10,Felipe Massa,6
McLaren,6,1,Jenson Button,13,Fernando Alonso,12
Force India,7,0,Nico Hülkenberg,15,Sergio Pérez,11
Haas,8,0,Romain Grosjean,19,Esteban Gutiérrez,14
Sauber,9,0,Felipe Nasr,20,Marcus Ericsson,16
Manor,10,0,Rio Haryanto,21,Pascal Wehrlein,18
Renault,11,0,Jolyon Palmer,22,Kevin Magnussen,17
