Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,3,Nico Rosberg,1
Ferrari,2,6,Sebastian Vettel,5,Kimi Räikkönen,4
Red Bull,3,4,Max Verstappen,6,Daniel Ricciardo,2
Toro Rosso,4,3,Carlos Sainz Jr.,14,Daniil Kvyat,9
Renault,5,2,Jolyon Palmer,15,Kevin Magnussen,10
Sauber,6,1,Marcus Ericsson,17,Felipe Nasr,13
Manor,7,0,Esteban Ocon,18,Pascal Wehrlein,16
McLaren,8,0,,,Fernando Alonso,7
Force India,9,0,,,Sergio Pérez,8
Haas,10,0,,,Esteban Gutiérrez,11
Williams,11,0,,,Felipe Massa,12
