Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Nico Rosberg,5,Lewis Hamilton,1
Ferrari,2,6,Kimi Räikkönen,6,Sebastian Vettel,2
Red Bull,3,4,Daniel Ricciardo,7,Max Verstappen,4
Force India,4,3,Sergio Pérez,10,Nico Hülkenberg,8
Toro Rosso,5,2,Daniil Kvyat,12,Carlos Sainz Jr.,9
Haas,6,1,Romain Grosjean,14,Esteban Gutiérrez,13
Sauber,7,0,Felipe Nasr,18,Marcus Ericsson,15
Manor,8,0,Rio Haryanto,19,Pascal Wehrlein,17
Williams,9,0,,,Valtteri Bottas,3
McLaren,10,0,,,Fernando Alonso,11
Renault,11,0,,,Kevin Magnussen,16
