Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Kimi Räikkönen,4,Sebastian Vettel,2
Mercedes,2,6,Lewis Hamilton,5,Nico Rosberg,1
Red Bull,3,4,Max Verstappen,8,Daniel Ricciardo,7
Force India,4,3,Nico Hülkenberg,9,Sergio Pérez,3
Williams,5,2,Felipe Massa,10,Valtteri Bottas,6
Renault,6,1,Jolyon Palmer,15,Kevin Magnussen,14
Haas,7,0,Esteban Gutiérrez,16,Romain Grosjean,13
Sauber,8,0,Marcus Ericsson,17,Felipe Nasr,12
McLaren,9,0,,,Jenson Button,11
Manor,10,0,,,Rio Haryanto,18
