Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,3,Nico Rosberg,1
Ferrari,2,6,Kimi Räikkönen,5,Sebastian Vettel,4
Red Bull,3,4,Daniel Ricciardo,6,Max Verstappen,2
Force India,4,3,Nico Hülkenberg,8,Sergio Pérez,7
Williams,5,2,Valtteri Bottas,10,Felipe Massa,9
Renault,6,1,Kevin Magnussen,14,Jolyon Palmer,12
Toro Rosso,7,0,Carlos Sainz Jr.,17,Daniil Kvyat,13
McLaren,8,0,Jenson Button,18,Fernando Alonso,16
Sauber,9,0,Felipe Nasr,19,Marcus Ericsson,15
Haas,10,0,Esteban Gutiérrez,20,Romain Grosjean,11
Manor,11,0,Pascal Wehrlein,22,Esteban Ocon,21
