Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Max Verstappen,2,Daniel Ricciardo,1
Force India,2,6,Nico Hülkenberg,8,Sergio Pérez,6
McLaren,3,4,Jenson Button,9,Fernando Alonso,7
Williams,4,3,Felipe Massa,13,Valtteri Bottas,5
Toro Rosso,5,2,Daniil Kvyat,14,Carlos Sainz Jr.,11
Manor,6,1,Esteban Ocon,16,Pascal Wehrlein,15
Mercedes,7,0,,,Nico Rosberg,3
Ferrari,8,0,,,Kimi Räikkönen,4
Renault,9,0,,,Jolyon Palmer,10
Sauber,10,0,,,Marcus Ericsson,12
