Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,3,Nico Rosberg,1
Red Bull,2,6,Daniil Kvyat,7,Daniel Ricciardo,4
Williams,3,4,Valtteri Bottas,9,Felipe Massa,8
Sauber,4,3,Felipe Nasr,14,Marcus Ericsson,12
Force India,5,2,Sergio Pérez,16,Nico Hülkenberg,15
Manor,6,1,Rio Haryanto,17,Pascal Wehrlein,13
Ferrari,7,0,,,Kimi Räikkönen,2
Haas,8,0,,,Romain Grosjean,5
Toro Rosso,9,0,,,Max Verstappen,6
McLaren,10,0,,,Stoffel Vandoorne,10
Renault,11,0,,,Kevin Magnussen,11
