Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Max Verstappen,3,Daniel Ricciardo,2
Mercedes,2,6,Nico Rosberg,4,Lewis Hamilton,1
Ferrari,3,4,Kimi Räikkönen,6,Sebastian Vettel,5
Force India,4,3,Sergio Pérez,10,Nico Hülkenberg,7
McLaren,5,2,Fernando Alonso,12,Jenson Button,8
Haas,6,1,Romain Grosjean,13,Esteban Gutiérrez,11
Toro Rosso,7,0,Daniil Kvyat,15,Carlos Sainz Jr.,14
Renault,8,0,Jolyon Palmer,19,Kevin Magnussen,16
Manor,9,0,Rio Haryanto,20,Pascal Wehrlein,17
Williams,10,0,,,Valtteri Bottas,9
Sauber,11,0,,,Marcus Ericsson,18
