Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Sebastian Vettel,3,Kimi Räikkönen,2
Red Bull,2,6,Daniel Ricciardo,4,Max Verstappen,1
Williams,3,4,Felipe Massa,8,Valtteri Bottas,5
Toro Rosso,4,3,Daniil Kvyat,10,Carlos Sainz Jr.,6
Sauber,5,2,Felipe Nasr,14,Marcus Ericsson,12
Renault,6,1,Kevin Magnussen,15,Jolyon Palmer,13
Manor,7,0,Rio Haryanto,17,Pascal Wehrlein,16
Force India,8,0,,,Sergio Pérez,7
McLaren,9,0,,,Jenson Button,9
Haas,10,0,,,Esteban Gutiérrez,11
