Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Nico Rosberg,4,Lewis Hamilton,1
Red Bull,2,6,Daniel Ricciardo,5,Max Verstappen,2
Haas,3,4,Esteban Gutiérrez,11,Romain Grosjean,7
Renault,4,3,Kevin Magnussen,14,Jolyon Palmer,12
Sauber,5,2,Marcus Ericsson,15,Felipe Nasr,13
Manor,6,1,Rio Haryanto,16,Pascal Wehrlein,10
McLaren,7,0,Fernando Alonso,18,Jenson Button,6
Force India,8,0,Nico Hülkenberg,19,Sergio Pérez,17
Williams,9,0,Felipe Massa,20,Valtteri Bottas,9
Ferrari,10,0,,,Kimi Räikkönen,3
Toro Rosso,11,0,,,Carlos Sainz Jr.,8
