Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,3,Nico Rosberg,1
Force India,2,6,Sergio Pérez,5,Nico Hülkenberg,4
Ferrari,3,4,Kimi Räikkönen,9,Sebastian Vettel,6
Williams,4,3,Felipe Massa,10,Valtteri Bottas,8
Red Bull,5,2,Max Verstappen,11,Daniel Ricciardo,2
Haas,6,1,Romain Grosjean,13,Esteban Gutiérrez,12
McLaren,7,0,,,Fernando Alonso,7
Toro Rosso,8,0,,,Daniil Kvyat,14
Renault,9,0,,,Jolyon Palmer,15
Manor,10,0,,,Esteban Ocon,16
Sauber,11,0,,,Felipe Nasr,17
