Équipe,Rang,Points,AUS,BAH,CHI,AZE,SPA,MON,CAN,FRA,GRE,GER,HUN,BEL,ITA,SIN,RUS,JAP,UNI,MEX,BRA,ABU
Mercedes,1,139,4,9,9,2,9,6,6,4,6,9,6,9,9,9,9,9,6,6,6,6
Ferrari,2,116,9,0,4,9,2,9,4,6,9,0,9,1,6,6,6,4,9,9,4,1
Red Bull,3,74,0,,6,,6,4,9,9,1,0,0,0,0,4,4,6,1,0,9,9
Force India,4,39,4,0,2,1,0,2,1,,4,6,1,6,4,0,3,3,0,0,1,0
Haas,5,36,6,2,0,0,1,1,2,2,0,4,4,4,0,0,2,0,,1,3,4
Renault,6,32,0,4,3,0,0,3,3,3,0,3,2,0,2,3,0,0,4,0,0,0
McLaren,7,25,1,6,1,6,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,3
Sauber,8,24,3,3,0,4,4,0,0,1,,1,0,0,1,2,1,0,0,4,0,0
Williams,9,21,2,1,0,0,3,0,0,0,2,,0,3,3,0,0,0,2,3,0,2
Toro Rosso,10,19,0,0,0,3,0,0,0,0,0,2,3,2,0,0,,2,3,2,2,0
