Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sebastian Vettel,5,Daniel Ricciardo,3
McLaren,2,6,Kevin Magnussen,7,Jenson Button,4
Toro Rosso,3,4,Jean-Éric Vergne,10,Daniil Kvyat,9
Force India,4,3,Sergio Pérez,11,Nico Hülkenberg,8
Marussia,5,2,Max Chilton,16,Jules Bianchi,14
Lotus,6,1,Pastor Maldonado,17,Romain Grosjean,12
Mercedes,7,0,,,Lewis Hamilton,1
Williams,8,0,,,Valtteri Bottas,2
Ferrari,9,0,,,Fernando Alonso,6
Sauber,10,0,,,Adrian Sutil,13
Caterham,11,0,,,Kamui Kobayashi,15
