Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Daniel Ricciardo,3,Sebastian Vettel,2
Ferrari,2,6,Kimi Räikkönen,8,Fernando Alonso,4
Force India,3,4,Nico Hülkenberg,9,Sergio Pérez,7
Williams,4,3,Valtteri Bottas,11,Felipe Massa,5
Lotus,5,2,Romain Grosjean,13,Pastor Maldonado,12
Toro Rosso,6,1,Daniil Kvyat,14,Jean-Éric Vergne,6
Marussia,7,0,Max Chilton,17,Jules Bianchi,16
Mercedes,8,0,,,Lewis Hamilton,1
McLaren,9,0,,,Kevin Magnussen,10
Caterham,10,0,,,Marcus Ericsson,15
