Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sebastian Vettel,5,Daniel Ricciardo,1
Ferrari,2,6,Fernando Alonso,7,Kimi Räikkönen,4
Force India,3,4,Nico Hülkenberg,10,Sergio Pérez,8
Toro Rosso,4,3,Jean-Éric Vergne,11,Daniil Kvyat,9
McLaren,5,2,Kevin Magnussen,12,Jenson Button,6
Williams,6,1,Felipe Massa,13,Valtteri Bottas,3
Sauber,7,0,Esteban Gutiérrez,15,Adrian Sutil,14
Marussia,8,0,Jules Bianchi,18,Max Chilton,16
Mercedes,9,0,,,Nico Rosberg,2
Caterham,10,0,,,Marcus Ericsson,17
