Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Deidt,1,9,Mauri Rose,3,Bill Holland,2
Kurtis Kraft,2,6,Cecil Green,4,Johnnie Parsons,1
Lesovsky,3,4,Troy Ruttman,15,George Connor,8
Maserati,4,3,Henry Banks,25,Spider Webb,20
Adams,5,2,Bill Cantrell,27,Bayliss Levrett,27
Moore,6,1,,,Lee Wallard,6
Nichels,7,0,,,Paul Russo,9
Marchese,8,0,,,Myron Fohr,11
Stevens,9,0,,,Duane Carter,12
Langley,10,0,,,Gene Hartley,16
Ewing,11,0,,,Jimmy Davies,17
Rae,12,0,,,Walt Ader,22
Olson,13,0,,,Jackie Holmes,23
Wetteroth,14,0,,,Jim Rathmann,24
Snowberger,15,0,,,Bill Schindler,26
Watson,16,0,,,Dick Rathmann,32
