Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Alfa Romeo,1,9,Luigi Fagioli,2,Nino Farina,1
Maserati,2,6,Felice Bonetto,5,Birabongse Bhanudej,4
Talbot-Lago,3,4,Harry Schell,8,Louis Rosier,3
