Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,David Coulthard,2,Mika Häkkinen,1
Jordan,2,6,Damon Hill,6,Heinz-Harald Frentzen,4
Prost,3,4,Olivier Panis,10,Jarno Trulli,8
Stewart,4,3,Johnny Herbert,11,Rubens Barrichello,5
Ferrari,5,2,Mika Salo,12,Eddie Irvine,3
Minardi,6,1,Marc Gené,17,Luca Badoer,14
Benetton,7,0,,,Alexander Wurz,7
Williams,8,0,,,Ralf Schumacher,9
BAR,9,0,,,Ricardo Zonta,13
Arrows,10,0,,,Pedro de la Rosa,15
Sauber,11,0,,,Jean Alesi,16
