Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Mika Häkkinen,2,David Coulthard,1
Jordan,2,6,Damon Hill,6,Heinz-Harald Frentzen,3
Ferrari,3,4,Mika Salo,7,Eddie Irvine,4
Williams,4,3,Alex Zanardi,8,Ralf Schumacher,5
Prost,5,2,Olivier Panis,13,Jarno Trulli,12
Benetton,6,1,Alexander Wurz,14,Giancarlo Fisichella,11
Sauber,7,0,,,Jean Alesi,9
Stewart,8,0,,,Rubens Barrichello,10
BAR,9,0,,,Jacques Villeneuve,15
Minardi,10,0,,,Marc Gené,16
