Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Maserati,1,9,Harry Schell,3,Juan Manuel Fangio,2
Vanwall,2,6,Stuart Lewis-Evans,5,Stirling Moss,1
Cooper,3,4,,,Jack Brabham,7
