Équipe,Rang,Points,AUS,MAL,BRA,SAN,SPA,MON,CAN,EUR,GRE,FRA,GER,HUN,BEL,ITA,UNI,JAP
Ferrari,1,118,9,2,2,9,2,9,9,9,9,3,6,9,9,9,9,9
Williams,2,72,6,9,9,6,4,2,0,0,4,6,9,2,6,,0,6
McLaren,3,47,2,,4,2,1,3,6,1,1,9,3,6,2,1,0,4
Sauber,4,42,,6,,3,9,0,3,6,3,1,4,4,0,0,2,1
Renault,5,32,1,1,1,4,3,1,1,4,0,2,,0,,6,6,2
Jordan,6,27,3,3,0,,,0,4,0,2,,2,3,0,3,4,3
Toyota,7,22,4,4,0,,6,,,0,,0,1,1,4,0,1,0
Jaguar,8,21,6,0,6,,,6,,0,0,0,,0,1,2,0,0
BAR,9,20,0,0,0,1,0,,0,3,6,,,0,3,4,3,
Minardi,10,18,0,,3,0,,0,2,0,,4,,0,,0,,0
Arrows,11,6,0,0,,,0,4,0,2,,,,,,,,
