Équipe,Rang,Points,SOU,BRA,EUR,SAN,SPA,MON,CAN,FRA,GRE,GER,HUN,BEL,ITA,POR,JAP,AUS
Williams,1,105,9,2,9,9,2,9,9,9,4,2,4,9,4,9,6,9
Benetton,2,52,,1,2,6,9,,1,4,9,9,3,6,0,2,,0
McLaren,3,50,6,3,3,,6,6,2,6,2,1,,4,1,,9,1
Ligier,4,39,4,0,,4,0,2,0,0,6,4,9,3,,0,3,4
Minardi,5,30,3,,6,1,0,4,0,0,0,3,,,9,4,0,
Lotus,6,24,,9,4,0,0,1,4,,3,0,,1,0,,2,
Ferrari,7,22,1,0,,,1,3,0,0,0,6,2,0,2,1,,6
Larrousse,8,21,,6,1,2,0,0,0,1,0,0,0,0,6,3,0,2
Sauber,9,18,2,,,3,,0,6,,0,0,0,0,0,6,1,0
Footwork,10,13,0,0,,0,3,,3,2,1,0,1,,,0,0,3
Jordan,11,11,,,0,,4,0,0,3,0,0,0,,,0,4,0
Tyrrell,12,9,,,,,,0,0,0,0,,6,0,3,0,0,0
Lola,13,6,,4,0,0,,,0,,,0,,2,0,0,,
