date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1951-05-30,1951,2,indianapolis,9,schroeder,Schroeder,5,200,34,1000.0,1017.533176,17.533176,0.848485,0.497821,50.0
1952-05-30,1952,2,indianapolis,17,stevens,Stevens,32,34,33,1017.533176,992.976519,-24.556657,0.03125,0.522383,50.0
