date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1980-05-04,1980,5,belgium,333,ensign,Ensign,DNF,12,27,1000.0,994.529132,-5.470868,0.269231,0.378648,50.0
1980-05-18,1980,6,monaco,334,ensign,Ensign,DNQ,,27,994.529132,981.699455,-12.829678,0.115385,0.371978,50.0
