date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1958-05-30,1958,4,indianapolis,68,watson,Watson,8,200,33,1000.0,1014.140376,14.140376,0.78125,0.498442,50.0
1959-05-30,1959,2,indianapolis,77,kurtis-kraft,Kurtis Kraft,29,45,33,1014.140376,994.603208,-19.537168,0.125,0.515743,50.0
