date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1950-05-21,1950,2,monaco,2,ferrari,Ferrari,2,99,21,1000.0,1022.712307,22.712307,0.95,0.495754,50.0
1950-06-04,1950,4,switzerland,4,ferrari,Ferrari,DNF,4,18,1022.712307,999.377958,-23.334348,0.058824,0.52551,50.0
1950-06-18,1950,5,belgium,5,ferrari,Ferrari,5,34,14,999.377958,1009.522768,10.144809,0.692308,0.489412,50.0
1950-09-03,1950,7,italy,7,ferrari,Ferrari,2,,27,1009.522768,1031.398588,21.87582,0.942308,0.504791,50.0
1951-05-27,1951,1,switzerland,8,ferrari,Ferrari,6,40,21,1031.398588,1042.010398,10.611811,0.75,0.537764,50.0
1951-06-17,1951,3,belgium,10,ferrari,Ferrari,2,36,13,1042.010398,1060.867769,18.857371,0.916667,0.539519,50.0
1951-07-01,1951,4,france,11,ferrari,Ferrari,2,,23,1060.867769,1076.445197,15.577428,0.886364,0.574815,50.0
1951-07-14,1951,5,great-britain,12,ferrari,Ferrari,DNF,56,20,1076.445197,1057.327593,-19.117604,0.210526,0.592878,50.0
1951-07-29,1951,6,germany,13,ferrari,Ferrari,1,20,23,1057.327593,1078.500875,21.173283,1.0,0.576534,50.0
1951-09-16,1951,7,italy,14,ferrari,Ferrari,1,80,24,1078.500875,1098.566397,20.065521,1.0,0.59869,50.0
1951-10-28,1951,8,spain,15,ferrari,Ferrari,4,68,20,1098.566397,1109.686344,11.119947,0.842105,0.619706,50.0
1952-05-30,1952,2,indianapolis,17,ferrari,Ferrari,31,40,33,1109.686344,1080.124972,-29.561371,0.0625,0.653727,50.0
1952-06-22,1952,3,belgium,18,ferrari,Ferrari,1,36,22,1080.124972,1100.093897,19.968925,1.0,0.600622,50.0
1952-07-06,1952,4,france,19,ferrari,Ferrari,1,77,21,1100.093897,1118.066685,17.972788,1.0,0.640544,50.0
1952-07-19,1952,5,great-britain,20,ferrari,Ferrari,1,85,32,1118.066685,1134.910071,16.843385,1.0,0.663132,50.0
1952-08-03,1952,6,germany,21,ferrari,Ferrari,1,18,34,1134.910071,1150.775103,15.865033,1.0,0.682699,50.0
1952-08-17,1952,7,netherlands,22,ferrari,Ferrari,1,90,18,1150.775103,1166.250305,15.475201,1.0,0.690496,50.0
1952-09-07,1952,8,italy,23,ferrari,Ferrari,1,80,35,1166.250305,1180.588548,14.338243,1.0,0.713235,50.0
1953-01-18,1953,1,argentina,24,ferrari,Ferrari,1,97,17,1180.588548,1195.765776,15.177228,1.0,0.696455,50.0
1953-06-07,1953,3,netherlands,26,ferrari,Ferrari,1,90,20,1195.765776,1209.28512,13.519344,1.0,0.729613,50.0
1953-06-21,1953,4,belgium,27,ferrari,Ferrari,1,36,22,1209.28512,1221.878144,12.593024,1.0,0.74814,50.0
1953-07-05,1953,5,france,28,ferrari,Ferrari,4,60,25,1221.878144,1227.492028,5.613884,0.875,0.762722,50.0
1953-07-18,1953,6,great-britain,29,ferrari,Ferrari,1,90,29,1227.492028,1239.065525,11.573497,1.0,0.76853,50.0
1953-08-02,1953,7,germany,30,ferrari,Ferrari,8,17,35,1239.065525,1238.856162,-0.209363,0.779412,0.783599,50.0
1953-08-23,1953,8,switzerland,31,ferrari,Ferrari,1,65,23,1238.856162,1250.283957,11.427796,1.0,0.771444,50.0
1953-09-13,1953,9,italy,32,ferrari,Ferrari,DNF,79,31,1250.283957,1232.260886,-18.023072,0.433333,0.793795,50.0
1954-07-04,1954,4,france,36,maserati,Maserati,DNF,1,22,1232.260886,1196.475886,-35.785,0.047619,0.763319,50.0
1954-07-17,1954,5,great-britain,37,maserati,Maserati,DNF,21,33,1196.475886,1174.081608,-22.394278,0.28125,0.729136,50.0
1954-09-05,1954,8,italy,40,ferrari,Ferrari,DNF,48,21,1174.081608,1159.827386,-14.254222,0.4,0.685084,50.0
1954-10-24,1954,9,spain,41,lancia,Lancia,DNF,10,23,1159.827386,1134.986519,-24.840866,0.181818,0.678636,50.0
1955-01-16,1955,1,argentina,42,lancia,Lancia,DNF,21,22,1134.986519,1112.813098,-22.173421,0.190476,0.633945,50.0
1955-05-22,1955,2,monaco,43,lancia,Lancia,DNF,80,24,1112.813098,1108.237539,-4.57556,0.521739,0.61325,50.0
