date,year,round,grandPrixId,careerRaceNumber,constructorId,constructorName,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1956-05-13,1956,2,monaco,50,ferrari,Ferrari,DNQ,,19,1000.0,985.002392,-14.997608,0.166667,0.466619,50.0
1956-08-05,1956,7,germany,55,ferrari,Ferrari,DNF,0,22,985.002392,973.836425,-11.165967,0.214286,0.437605,50.0
1957-05-19,1957,2,monaco,58,maserati,Maserati,DNF,64,21,973.836425,981.702834,7.86641,0.6,0.442672,50.0
1957-08-04,1957,6,germany,62,maserati,Maserati,10,21,24,981.702834,990.502513,8.799679,0.608696,0.432702,50.0
1957-08-18,1957,7,pescara,63,maserati,Maserati,6,17,16,990.502513,1001.414536,10.912023,0.666667,0.448426,50.0
1957-09-08,1957,8,italy,64,maserati,Maserati,5,84,19,1001.414536,1016.252485,14.837949,0.75,0.453241,50.0
1958-05-18,1958,2,monaco,66,maserati,Maserati,DNF,27,30,1016.252485,1018.207636,1.955152,0.551724,0.512621,50.0
1958-05-26,1958,3,netherlands,67,maserati,Maserati,DNF,51,18,1018.207636,1011.945288,-6.262348,0.352941,0.478188,50.0
1959-05-10,1959,1,monaco,76,maserati,Maserati,DNQ,,24,1011.945288,994.926503,-17.018785,0.152174,0.49255,50.0
1959-07-05,1959,4,france,79,maserati,Maserati,8,41,22,994.926503,1005.465001,10.538498,0.666667,0.455897,50.0
1959-09-13,1959,8,italy,83,cooper,Cooper,12,68,21,1005.465001,1004.607795,-0.857206,0.45,0.467144,50.0
1960-02-07,1960,1,argentina,85,maserati,Maserati,DNF,10,22,1004.607795,981.616209,-22.991587,0.0,0.459832,50.0
1960-05-29,1960,2,monaco,86,cooper,Cooper,DNQ,,25,981.616209,968.246564,-13.369644,0.166667,0.43406,50.0
1960-09-04,1960,9,italy,93,cooper,Cooper,DNF,26,17,968.246564,954.827103,-13.419461,0.1875,0.455889,50.0
1961-07-02,1961,4,france,98,de-tomaso,De Tomaso,DNF,15,28,954.827103,948.317619,-6.509484,0.259259,0.389449,50.0
