Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Tyrrell,1,9,François Cevert,4,Jackie Stewart,1
McLaren,2,6,Brian Redman,9,Denny Hulme,7
Brabham,3,4,Graham Hill,10,Wilson Fittipaldi,8
Ferrari,4,3,Nanni Galli,13,Jacky Ickx,11
Surtees,5,2,Andrea de Adamich,14,Mike Hailwood,6
Lotus,6,1,David Walker,18,Emerson Fittipaldi,2
Matra,7,0,,,Chris Amon,3
March,8,0,,,Ronnie Peterson,5
BRM,9,0,,,Jean-Pierre Beltoise,15
Eifelland,10,0,,,Rolf Stommelen,16
