Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Jacques Laffite,4,Keke Rosberg,1
Lotus,2,6,Nigel Mansell,6,Elio de Angelis,3
Ferrari,3,4,,,René Arnoux,2
Osella,4,3,,,Piercarlo Ghinzani,5
Brabham,5,2,,,Corrado Fabi,7
ATS,6,1,,,Manfred Winkelhock,8
