Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Jochen Mass,3,Emerson Fittipaldi,2
Ferrari,2,6,Niki Lauda,5,Clay Regazzoni,4
Brabham,3,4,Carlos Reutemann,8,Carlos Pace,1
Lola,4,3,Rolf Stommelen,14,Graham Hill,12
Lotus,5,2,Ronnie Peterson,15,Jacky Ickx,9
Hesketh,6,1,,,James Hunt,6
Parnelli,7,0,,,Mario Andretti,7
Surtees,8,0,,,John Watson,10
Frank Williams Racing Cars,9,0,,,Jacques Laffite,11
Fittipaldi,10,0,,,Wilson Fittipaldi,13
