Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
March,1,9,Vittorio Brambilla,6,Mark Donohue,5
McLaren,2,6,Jochen Mass,7,Emerson Fittipaldi,1
Tyrrell,3,4,Patrick Depailler,9,Jody Scheckter,3
Ferrari,4,3,Clay Regazzoni,13,Niki Lauda,8
Hill,5,2,Tony Brise,15,Alan Jones,10
Surtees,6,1,Dave Morgan,18,John Watson,11
Brabham,7,0,,,Carlos Pace,2
Hesketh,8,0,,,James Hunt,4
Parnelli,9,0,,,Mario Andretti,12
Shadow,10,0,,,Jean-Pierre Jarier,14
Lotus,11,0,,,Brian Henton,16
Lyncar,12,0,,,John Nicholson,17
Fittipaldi,13,0,,,Wilson Fittipaldi,19
