Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Emerson Fittipaldi,4,Jochen Mass,3
Tyrrell,2,6,Jody Scheckter,9,Patrick Depailler,6
Hill,3,4,Alan Jones,16,Tony Brise,7
Ferrari,4,3,,,Niki Lauda,1
Hesketh,5,2,,,James Hunt,2
Parnelli,6,1,,,Mario Andretti,5
Shadow,7,0,,,Jean-Pierre Jarier,8
Lotus,8,0,,,Ronnie Peterson,10
Frank Williams Racing Cars,9,0,,,Jacques Laffite,11
Surtees,10,0,,,John Watson,13
Brabham,11,0,,,Carlos Reutemann,14
Ensign,12,0,,,Gijs van Lennep,15
BRM,13,0,,,Bob Evans,17
March,14,0,,,Lella Lombardi,18
