Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Clay Regazzoni,3,Niki Lauda,2
Brabham,2,6,Carlos Pace,5,Carlos Reutemann,4
Hill,3,4,Alan Jones,13,Tony Brise,7
Tyrrell,4,3,Jody Scheckter,16,Patrick Depailler,9
Hesketh,5,2,,,James Hunt,1
Shadow,6,1,,,Tom Pryce,6
Penske,7,0,,,Mark Donohue,8
Ensign,8,0,,,Gijs van Lennep,10
Fittipaldi,9,0,,,Wilson Fittipaldi,11
Frank Williams Racing Cars,10,0,,,Ian Scheckter,12
March,11,0,,,Lella Lombardi,14
Lotus,12,0,,,Ronnie Peterson,15
