Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Clay Regazzoni,7,Niki Lauda,6
McLaren,2,6,Emerson Fittipaldi,9,Jochen Mass,4
Tyrrell,3,4,Patrick Depailler,11,Jody Scheckter,8
Hesketh,4,3,Brett Lunger,13,James Hunt,2
Hill,5,2,Rolf Stommelen,16,Tony Brise,15
March,6,1,Lella Lombardi,17,Vittorio Brambilla,1
Shadow,7,0,,,Tom Pryce,3
Lotus,8,0,,,Ronnie Peterson,5
Surtees,9,0,,,John Watson,10
Ensign,10,0,,,Chris Amon,12
Brabham,11,0,,,Carlos Reutemann,14
