Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Clay Regazzoni,3,Niki Lauda,1
Hesketh,2,6,Alan Jones,11,Torsten Palm,10
Tyrrell,3,4,Patrick Depailler,12,Jody Scheckter,7
Lotus,4,3,Jacky Ickx,15,Ronnie Peterson,9
Brabham,5,2,,,Carlos Reutemann,2
Parnelli,6,1,,,Mario Andretti,4
Penske,7,0,,,Mark Donohue,5
Hill,8,0,,,Tony Brise,6
McLaren,9,0,,,Emerson Fittipaldi,8
BRM,10,0,,,Bob Evans,13
Frank Williams Racing Cars,11,0,,,Damien Magee,14
Surtees,12,0,,,John Watson,16
Fittipaldi,13,0,,,Wilson Fittipaldi,17
