Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Carlos Reutemann,2,Alan Jones,1
Brabham,2,6,,,Nelson Piquet,3
Alfa Romeo,3,4,,,Mario Andretti,4
Tyrrell,4,3,,,Eddie Cheever,5
Theodore,5,2,,,Patrick Tambay,6
Fittipaldi,6,1,,,Chico Serra,7
Renault,7,0,,,René Arnoux,8
