Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Brabham,1,9,Héctor Rebaque,4,Nelson Piquet,1
Renault,2,6,René Arnoux,13,Alain Prost,2
Alfa Romeo,3,4,Bruno Giacomelli,15,Mario Andretti,9
Ligier,4,3,,,Jacques Laffite,3
Tyrrell,5,2,,,Eddie Cheever,5
McLaren,6,1,,,John Watson,6
Lotus,7,0,,,Elio de Angelis,7
Osella,8,0,,,Jean-Pierre Jarier,8
Ferrari,9,0,,,Gilles Villeneuve,10
Williams,10,0,,,Alan Jones,11
Arrows,11,0,,,Siegfried Stohr,12
Theodore,12,0,,,Marc Surer,14
