Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Carlos Reutemann,8,Alan Jones,1
McLaren,2,6,Andrea de Cesaris,12,John Watson,7
Renault,3,4,,,Alain Prost,2
Alfa Romeo,4,3,,,Bruno Giacomelli,3
Lotus,5,2,,,Nigel Mansell,4
Brabham,6,1,,,Nelson Piquet,5
Ligier,7,0,,,Jacques Laffite,6
Ferrari,8,0,,,Didier Pironi,9
Fittipaldi,9,0,,,Keke Rosberg,10
Arrows,10,0,,,Riccardo Patrese,11
Tyrrell,11,0,,,Michele Alboreto,13
