Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,René Arnoux,4,Alain Prost,1
Lotus,2,6,Nigel Mansell,7,Elio de Angelis,6
Brabham,3,4,Héctor Rebaque,9,Nelson Piquet,3
McLaren,4,3,Andrea de Cesaris,11,John Watson,2
Alfa Romeo,5,2,Bruno Giacomelli,15,Mario Andretti,8
Tyrrell,6,1,Michele Alboreto,16,Eddie Cheever,13
Williams,7,0,Alan Jones,17,Carlos Reutemann,10
Ferrari,8,0,,,Didier Pironi,5
Theodore,9,0,,,Marc Surer,12
Arrows,10,0,,,Riccardo Patrese,14
