Équipe,Rang,Points,AUS,BEL,BRA,CAN,FRA,GER,GRE,HUN,ITA,JAP,MEX,MON,POR,SAN,SPA,UNI
McLaren,1,86,9,9,9,,3,4,9,6,9,9,3,3,0,9,0,4
Williams,2,72,6,3,3,6,6,9,1,9,2,6,9,2,1,,9,
Ferrari,3,43,0,,6,,9,2,0,0,1,4,,9,0,,6,6
Benetton,4,39,0,6,4,3,0,1,0,0,6,1,1,1,9,0,4,3
Jordan,5,31,4,0,0,9,2,6,0,4,0,,2,0,4,,0,0
Tyrrell,6,28,0,,,4,,0,6,2,,2,4,,0,,1,9
Ligier,7,19,0,0,0,1,4,0,,1,0,0,0,6,3,4,,
Minardi,8,18,0,0,2,2,0,,4,0,0,,0,0,6,1,3,0
Lotus,9,18,1,2,1,,0,,2,0,0,,6,,0,6,,
Brabham,10,17,0,4,0,,,3,,,4,3,,,0,3,0,0
Dallara,11,15,3,1,0,0,,0,3,,0,,,4,,2,2,
Leyton House,12,9,0,,,,1,,,3,3,0,,,2,0,0,
Lola,13,2,,,,,,,,,,,0,0,,,,2
Footwork,14,2,2,,,,,,,,,0,,,0,,,
Modena,15,1,,,,,,,,0,0,,,,,0,,1
AGS,16,0,,,,,,,,,,,,,,,,0
Fondmetal,17,0,,0,,,,,,,,0,,,,,0,
