Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Clay Regazzoni,4,Niki Lauda,2
McLaren,2,6,Denny Hulme,6,Emerson Fittipaldi,1
Lola,3,4,Guy Edwards,12,Graham Hill,8
BRM,4,3,François Migault,16,Jean-Pierre Beltoise,5
Brabham,5,2,Teddy Pilette,17,John Watson,11
Shadow,6,1,Brian Redman,18,Jean-Pierre Jarier,13
Tyrrell,7,0,,,Jody Scheckter,3
March,8,0,,,Vittorio Brambilla,9
Trojan,9,0,,,Tim Schenken,10
Iso-Marlboro,10,0,,,Gijs van Lennep,14
Ensign,11,0,,,Vern Schuppan,15
