Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Emerson Fittipaldi,7,Mike Hailwood,3
Tyrrell,2,6,Jody Scheckter,8,Patrick Depailler,4
March,3,4,Vittorio Brambilla,10,Hans-Joachim Stuck,5
BRM,4,3,François Migault,15,Jean-Pierre Beltoise,2
Brabham,5,2,Richard Robarts,17,Carlos Reutemann,1
Iso-Marlboro,6,1,,,Arturo Merzario,6
Surtees,7,0,,,Carlos Pace,11
Lola,8,0,,,Graham Hill,12
Lotus,9,0,,,Ian Scheckter,13
Ferrari,10,0,,,Niki Lauda,16
