Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Clay Regazzoni,3,Niki Lauda,2
Lotus,2,6,Jacky Ickx,5,Ronnie Peterson,1
McLaren,3,4,Mike Hailwood,7,Denny Hulme,6
Tyrrell,4,3,Patrick Depailler,8,Jody Scheckter,4
BRM,5,2,François Migault,14,Jean-Pierre Beltoise,10
Lola,6,1,Guy Edwards,15,Graham Hill,13
Iso-Marlboro,7,0,,,Arturo Merzario,9
March,8,0,,,Vittorio Brambilla,11
Shadow,9,0,,,Jean-Pierre Jarier,12
Brabham,10,0,,,John Watson,16
