Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Denny Hulme,6,Emerson Fittipaldi,1
Brabham,2,6,Carlos Reutemann,9,Carlos Pace,8
Lotus,3,4,Jacky Ickx,13,Ronnie Peterson,3
Lola,4,3,Graham Hill,14,Rolf Stommelen,11
Ferrari,5,2,,,Clay Regazzoni,2
Hesketh,6,1,,,James Hunt,4
Tyrrell,7,0,,,Patrick Depailler,5
Parnelli,8,0,,,Mario Andretti,7
Surtees,9,0,,,Helmuth Koinigg,10
Penske,10,0,,,Mark Donohue,12
Iso-Marlboro,11,0,,,Jacques Laffite,15
