Pilote,Rang,Points,ARGR,AUSR,BELR,BRAR,CANR,FRAR,GERR,GRER,ITAR,MONR,NETR,SOUR,SPAR,SWER,UNIR
Ronnie Peterson,1,311,10,18,25,25,25,10,18,25,25,18,25,12,25,25,25
Jackie Stewart,2,180,12,6,8,4,2,25,25,12,8,25,18,0,12,15,8
Denny Hulme,3,178,4,15,18,10,6,8,4,18,15,15,12,25,18,8,2
Emerson Fittipaldi,4,171,18,25,2,18,10,15,0,10,12,10,0,18,6,12,15
François Cevert,5,136,8,1,12,2,8,12,15,6,0,12,15,0,15,18,12
Peter Revson,6,106,0,12,1,0,18,,6,15,18,0,8,8,10,6,4
Carlos Reutemann,7,95,2,10,6,6,12,4,8,4,1,0,10,4,0,10,18
Jacky Ickx,8,75,15,,15,15,,0,12,0,0,6,,0,8,4,0
Clay Regazzoni,9,59,25,0,0,12,,2,1,1,0,4,0,10,4,0,0
Jody Scheckter,10,56,,,,,15,18,,8,,,,15,,,0
Carlos Pace,11,33,0,4,4,8,0,0,0,0,10,0,4,2,0,0,1
Jean-Pierre Beltoise,12,30,6,0,10,1,0,0,2,0,0,0,2,6,1,2,0
Niki Lauda,13,25,0,,0,0,4,0,10,2,0,8,0,1,0,0,0
James Hunt,14,18,,2,,,0,0,,0,0,0,6,,,,10
Arturo Merzario,15,15,0,8,,0,0,1,,,6,0,,0,,,0
Mike Hailwood,16,14,1,0,0,0,0,0,0,0,4,0,0,0,2,1,6
Jean-Pierre Jarier,17,6,0,0,0,0,0,6,,,,0,,0,,0,0
Wilson Fittipaldi,18,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
Rolf Stommelen,19,2,,0,,,0,,0,,2,,,,,,
Howden Ganley,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jackie Oliver,21,1,,0,0,,0,0,0,0,0,0,1,0,0,0,0
Nanni Galli,22,0,0,,0,0,,,,,,0,,,0,,
Mike Beuttler,23,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Luiz Bueno,24,0,,,,0,,,,,,,,,,,
Dave Charlton,25,0,,,,,,,,,,,,0,,,
Andrea de Adamich,26,0,,,0,,,0,,0,,0,,0,0,,
George Follmer,27,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
Eddie Keizan,28,0,,,,,,,,,,,,0,,,
Jackie Pretorius,29,0,,,,,,,,,,,,0,,,
Henri Pescarolo,30,0,,,,,,0,0,,,,,,0,,
Graham Hill,31,0,,0,0,,0,0,0,0,0,0,0,,0,0,0
Chris Amon,32,0,,0,0,,0,,,0,,0,0,,,,0
David Purley,33,0,,,,,,,0,0,0,0,0,,,,
Reine Wisell,34,0,,,,,,0,,,,,,,,0,
Tom Belsø,35,0,,,,,,,,,,,,,,0,
Rikky von Opel,36,0,,0,,,0,0,,0,0,,0,,,,0
Jochen Mass,37,0,,,,,,,0,0,,,,,,,0
Roger Williamson,38,0,,,,,,,,0,,,0,,,,
John Watson,39,0,,,,,,,,0,,,,,,,0
Graham McRae,40,0,,,,,,,,0,,,,,,,
Gijs van Lennep,41,0,,0,,,,,,,0,,0,,,,
Tim Schenken,42,0,,,,,0,,,,,,,,,,
Peter Gethin,43,0,,,,,0,,,,,,,,,,
Brian Redman,44,0,,,,,,,,,,,,,,,0
