Pilote,Rang,Points,BELR,FRAR,GERR,GRER,ITAR,MONR,NETR,UNIR
Phil Hill,1,147,25,25,25,25,12,10,25,
Wolfgang von Trips,2,109,18,18,10,12,25,8,18,
Stirling Moss,3,93,4,12,15,10,0,25,12,15
Richie Ginther,4,91,10,15,0,18,15,18,15,
Graham Hill,5,74,8,8,8,0,10,12,10,18
Jack Brabham,6,52,0,0,18,2,1,0,6,25
Jim Clark,7,49,0,10,4,4,6,15,0,10
Jo Bonnier,8,36,2,0,12,15,4,2,0,1
Tony Brooks,9,32,6,0,2,8,0,4,4,8
John Surtees,10,24,12,6,1,1,0,0,2,2
Dan Gurney,11,23,1,2,6,0,0,0,8,6
Bruce McLaren,12,22,0,4,0,0,0,6,0,12
Ricardo Rodríguez,13,18,,,,,18,,,
Olivier Gendebien,14,15,15,,,,,0,,0
Innes Ireland,15,14,0,1,0,6,2,1,,4
Giancarlo Baghetti,16,8,,0,,0,8,,,
Masten Gregory,17,1,0,0,,0,0,0,1,0
Hans Herrmann,18,0,,,0,,,0,0,
Michael May,19,0,,0,0,,,0,,
Cliff Allison,20,0,,,,,,0,,
Maurice Trintignant,21,0,0,0,0,,0,0,,
Henry Taylor,22,0,,0,,0,0,0,,
Lucien Bianchi,23,0,0,0,,0,,0,,
Ian Burgess,24,0,0,0,0,0,,,0,
Trevor Taylor,25,0,,,,,,,0,
Carel Godin de Beaufort,26,0,0,0,0,0,0,,0,
Jackie Lewis,27,0,0,0,0,0,0,,,
Lorenzo Bandini,28,0,0,,0,0,0,,,
Willy Mairesse,29,0,0,0,0,,,,,
Tony Marsh,30,0,0,,0,0,,,,
Wolfgang Seidel,31,0,0,,0,0,0,,,
Roy Salvadori,32,0,,0,0,0,0,,,0
Bernard Collomb,33,0,,0,0,,,,,
Giorgio Scarlatti,34,0,,0,,,,,,
Jack Fairman,35,0,,,,0,0,,,
Keith Greene,36,0,,,,0,,,,
Tony Maggs,37,0,,,0,0,,,,
Gerry Ashmore,38,0,,,0,0,0,,,
Massimo Natili,39,0,,,,0,,,,
Tim Parnell,40,0,,,,0,0,,,
Nino Vaccarella,41,0,,,,,0,,,
Roberto Bussinello,42,0,,,,,0,,,
Renato Pirocchi,43,0,,,,,0,,,
Gaetano Starrabba,44,0,,,,,0,,,
Brian Naylor,45,0,,,,,0,,,
Roberto Lippi,46,0,,,,,0,,,
André Pilette,47,0,,,,,0,,,
Peter Ryan,48,0,,,,,,,,0
Walt Hansgen,49,0,,,,,,,,0
Roger Penske,50,0,,,,,,,,0
Hap Sharp,51,0,,,,,,,,0
Jim Hall,52,0,,,,,,,,0
Lloyd Ruby,53,0,,,,,,,,0
