Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Toleman,1,9,Bruno Giacomelli,6,Derek Warwick,5
Brabham,2,6,Riccardo Patrese,7,Nelson Piquet,1
Renault,3,4,Eddie Cheever,10,Alain Prost,2
Lotus,4,3,,,Nigel Mansell,3
Alfa Romeo,5,2,,,Andrea de Cesaris,4
ATS,6,1,,,Manfred Winkelhock,8
Ferrari,7,0,,,René Arnoux,9
Arrows,8,0,,,Thierry Boutsen,11
Theodore,9,0,,,Roberto Guerrero,12
Williams,10,0,,,Jonathan Palmer,13
Spirit,11,0,,,Stefan Johansson,14
Ligier,12,0,,,Raul Boesel,15
