Pilote,Rang,Points,AUSR,BAHR,BELR,BRAR,CANR,CHIR,EURR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,MALR,MONR,SINR,SPAR,TURR
Lewis Hamilton,1,317,25,15,25,12,25,25,18,15,25,12,25,,25,12,15,18,10,15
Felipe Massa,2,307,12,18,18,25,8,15,25,18,18,2,15,8,10,25,25,25,15,25
Kimi Räikkönen,3,246,,12,12,15,15,18,12,25,8,15,8,,18,18,18,15,25,12
Heikki Kovalainen,4,238,15,10,15,10,6,10,10,8,15,25,18,18,15,15,12,10,8,18
Robert Kubica,5,164,18,25,4,,18,,15,6,6,,12,,8,8,10,12,12,10
Fernando Alonso,6,125,,1,8,8,12,12,,12,10,8,6,4,12,2,6,,18,6
Jarno Trulli,7,98,8,6,,18,,2,6,10,12,,2,6,6,10,4,,4,4
Mark Webber,8,79,,,6,,,8,,4,4,18,4,15,,4,2,,6,8
Nick Heidfeld,9,75,10,8,10,4,4,6,4,,,10,,1,,6,,8,2,2
Sebastian Vettel,10,58,,,1,6,,4,8,,2,4,,25,2,,,6,,
Nico Rosberg,11,42,6,4,,,10,,2,,,,,10,,,8,2,,
Timo Glock,12,25,2,,,1,,,,1,,,10,2,4,1,,4,,
Sébastien Bourdais,13,19,,,2,2,,1,1,,,,,12,1,,,,,
David Coulthard,14,8,4,,,,,,,2,1,,,,,,,,,1
Nelson Piquet Jr.,15,8,,,,,,,,,,6,1,,,,,,1,
Jenson Button,16,2,,2,,,,,,,,,,,,,,,,
Rubens Barrichello,17,2,,,,,2,,,,,,,,,,,,,
Kazuki Nakajima,18,1,,,,,,,,,,,,,,,,1,,
