Pilote,Rang,Points,BELR,FRAR,GRER,INDR,ITAR,MONR,SWIR
Juan Manuel Fangio,1,133,18,25,15,,25,25,25
Nino Farina,2,119,25,18,25,,15,18,18
Luigi Fagioli,3,83,15,15,18,,10,10,15
Philippe Étancelin,4,40,8,12,0,,0,12,8
Alberto Ascari,5,40,6,,,,18,6,10
Luigi Villoresi,6,32,12,,,,,8,12
Yves Giraud-Cabantous,7,26,2,10,8,,,,6
Walt Faulkner,8,25,,,,25,,,
José Froilán González,9,19,,4,,,,15,
Fred Agabashian,10,18,,,,18,,,
Louis Rosier,11,16,4,8,2,,0,1,1
Raymond Sommer,12,16,10,0,,,4,2,0
Mauri Rose,13,15,,,,15,,,
Birabongse Bhanudej,14,14,,,10,,0,0,4
Reg Parnell,15,12,,0,12,,,,
George Connor,16,12,,,,12,,,
Consalvo Sanesi,17,12,,,,,12,,
Johnnie Parsons,18,10,,,,10,,,
Eugène Martin,19,8,,,6,,,,2
Franco Rol,20,8,,6,,,2,0,
Jack McGrath,21,8,,,,8,,,
Dorino Serafini,22,8,,,,,8,,
Duke Dinsmore,23,6,,,,6,,,
Piero Taruffi,24,6,,,,,6,,
Emmanuel de Graffenried,25,4,,,4,,0,0,0
Louis Chiron,26,4,,0,0,,0,4,0
Tony Bettenhausen,27,4,,,,4,,,
Pierre Levegh,28,3,1,2,,,0,,
Joie Chitwood,29,2,,,,2,,,
Peter Walker,30,1,,,1,,,,
Robert Manzon,31,1,,0,,,1,0,
Bill Holland,32,1,,,,1,,,
Eugène Chaboud,33,1,0,1,,,,,
Leslie Johnson,34,0,,,0,,,,
Bob Gerard,35,0,,,0,,,0,
Cuth Harrison,36,0,,,0,,0,0,
David Hampshire,37,0,,0,0,,,,
Geoffrey Crossley,38,0,0,,0,,,,
David Murray,39,0,,,0,,0,,
Joe Kelly,40,0,,,0,,,,
Joe Fry,41,0,,,0,,,,
Johnny Claes,42,0,0,0,0,,0,0,0
Maurice Trintignant,43,0,,,,,0,0,
Alfredo Pián,44,0,,,,,,0,
Harry Schell,45,0,,,,,,0,0
Peter Whitehead,46,0,,0,,,0,0,
Pat Flaherty,47,0,,,,0,,,
Cecil Green,48,0,,,,0,,,
Duane Carter,49,0,,,,0,,,
Spider Webb,50,0,,,,0,,,
Jerry Hoyt,51,0,,,,0,,,
Myron Fohr,52,0,,,,0,,,
Bayliss Levrett,53,0,,,,0,,,
Dick Rathmann,54,0,,,,0,,,
Paul Russo,55,0,,,,0,,,
Walt Brown,56,0,,,,0,,,
Henry Banks,57,0,,,,0,,,
Bill Schindler,58,0,,,,0,,,
Lee Wallard,59,0,,,,0,,,
Troy Ruttman,60,0,,,,0,,,
Sam Hanks,61,0,,,,0,,,
Mack Hellings,62,0,,,,0,,,
Jimmy Davies,63,0,,,,0,,,
Jim Rathmann,64,0,,,,0,,,
Walt Ader,65,0,,,,0,,,
Jackie Holmes,66,0,,,,0,,,
Gene Hartley,67,0,,,,0,,,
Jimmy Jackson,68,0,,,,0,,,
Johnny McDowell,69,0,,,,0,,,
Felice Bonetto,70,0,,0,,,0,,0
Nello Pagani,71,0,,,,,,,0
Toni Branca,72,0,0,,,,,,0
Charles Pozzi,73,0,,0,,,,,
Guy Mairesse,74,0,,,,,0,,
Henri Louveau,75,0,,,,,0,,
Clemente Biondetti,76,0,,,,,0,,
Franco Comotti,77,0,,,,,0,,
Paul Pietsch,78,0,,,,,0,,
