Pilote,Rang,Points,ABUR,AUSR,BELR,BRAR,CANR,CHIR,EURR,GERR,GRER,HUNR,INDR,ITAR,JAPR,KORR,MALR,MONR,SINR,SPAR,TURR
Sebastian Vettel,1,444,25,25,25,25,25,25,25,15,18,25,25,25,25,18,25,25,25,18,25
Mark Webber,2,284,12,15,15,18,12,,18,25,25,8,15,10,8,12,15,15,18,25,18
Lewis Hamilton,3,276,18,18,18,12,10,15,15,18,1,18,18,18,15,25,18,,12,15,12
Jenson Button,4,226,15,12,,15,6,18,8,6,10,15,10,15,18,15,12,18,15,10,8
Fernando Alonso,5,207,10,10,4,10,18,10,12,12,15,10,12,12,10,8,10,12,10,12,10
Felipe Massa,6,161,8,4,12,6,15,8,10,10,12,12,8,8,12,10,6,8,8,4,
Nico Rosberg,7,121,6,6,10,8,8,12,6,8,2,6,6,2,,6,2,6,6,6,15
Vitaly Petrov,8,40,,8,1,,1,,,2,,,,6,,4,4,,,8,6
Michael Schumacher,9,33,4,,,,4,,4,1,,2,,4,,,,10,,,4
Jaime Alguersuari,10,14,,,8,,,6,,,,,,,,,,,,,
Adrian Sutil,11,14,2,,,4,,,,4,,4,,,,,,,,,
Nick Heidfeld,12,12,,,,,2,,,,,,,,,,8,,,,2
Paul di Resta,13,12,,,,,,4,,,8,,,,,,,,,,
Pastor Maldonado,14,12,,,,,,,,,6,,,,,,,4,,2,
Bruno Senna,15,8,,,6,2,,,,,,,,,,,,,,,
Kamui Kobayashi,16,7,,2,,,,,,,4,,,,,,1,,,,
Sébastien Buemi,17,3,,1,,,,2,,,,,,,,,,,,,
Sergio Pérez,18,2,,,2,,,,,,,,,,,,,,,,
