Équipe,Rang,Points,ARG,BRA,SOU,SPA,BEL,MON,SWE,NET,FRA,GRE,GER,AUS,ITA,CAN,UNI
McLaren,1,85,6,9,9,6,6,1,2,6,4,6,0,6,9,9,6
Ferrari,2,62,9,0,0,9,9,2,,9,9,9,2,2,,2,0
Brabham,3,54,3,2,2,0,2,0,4,3,0,4,4,9,6,6,9
Tyrrell,4,47,2,4,6,4,0,6,9,4,3,2,1,,4,0,2
Lotus,5,37,0,6,0,,,4,,2,6,3,9,,3,4,
Lola,6,28,0,0,0,,4,9,6,,1,0,0,0,1,3,4
BRM,7,16,4,3,3,0,3,,,,2,0,0,,,,1
March,8,16,1,0,4,3,0,,0,1,0,,3,4,,,
Shadow,9,15,,,,2,1,3,1,,0,1,6,1,0,,0
Hesketh,10,11,,,,1,,,3,,,,,3,,1,3
Iso-Marlboro,11,3,,,1,,0,,0,,0,,,,2,0,
Surtees,12,1,,1,0,0,,,,,,0,0,0,,0,
Trojan,13,0,,,,0,0,,,,,,,0,,,
Ensign,14,0,,,,,0,,,,,,,,,,
Token,15,0,,,,,,,,,,,0,,,,
Parnelli,16,0,,,,,,,,,,,,,,0,
Penske,17,0,,,,,,,,,,,,,,0,
