Pilote,Rang,Points,ARGR,AUSR,BELR,BRAR,CANR,FRAR,GERR,GRER,ITAR,MONR,NETR,SOUR,SPAR,SWER,UNIR
Niki Lauda,1,302,4,25,15,15,18,25,25,25,25,25,25,25,25,15,10
Clay Regazzoni,2,178,18,4,25,4,8,12,18,6,10,18,18,8,15,12,2
Emerson Fittipaldi,3,172,15,15,12,25,25,10,15,4,8,0,15,10,12,2,4
Carlos Reutemann,4,148,8,18,0,18,12,4,8,12,18,4,0,12,8,1,25
Ronnie Peterson,5,146,25,8,10,12,1,18,4,18,6,15,1,0,18,10,0
Jody Scheckter,6,127,0,10,18,0,15,6,12,15,0,10,10,4,1,18,8
James Hunt,7,75,10,6,2,0,4,1,0,8,4,6,8,0,0,8,18
Carlos Pace,8,63,0,12,4,0,2,0,0,0,15,0,,18,0,0,12
Patrick Depailler,9,61,0,0,0,0,6,2,10,1,1,12,4,0,0,25,0
Jacky Ickx,10,35,6,0,0,10,0,0,2,0,0,0,0,1,10,6,0
Arturo Merzario,11,33,0,2,8,2,0,0,0,0,0,0,0,15,6,0,0
Jean-Pierre Jarier,12,31,0,0,0,0,10,0,0,0,2,8,6,,0,4,1
Mike Hailwood,13,29,2,,0,6,,8,0,0,,1,12,0,0,0,
Tom Pryce,14,25,,0,0,,0,15,0,10,0,,0,,,,0
Peter Revson,15,20,12,,,8,,,,,,,,,,,
John Watson,16,18,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6
Denny Hulme,17,16,1,1,0,0,0,0,6,0,0,0,2,2,4,0,0
Mario Andretti,18,15,,,,,0,,,,,,,,,,15
Hans-Joachim Stuck,19,11,0,0,1,0,0,0,0,2,0,2,0,6,0,,0
Jean-Pierre Beltoise,20,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Jochen Mass,21,2,0,,0,1,0,0,1,0,,0,0,0,0,0,0
Vittorio Brambilla,22,2,,0,0,,0,0,0,0,0,0,0,0,2,0,0
Graham Hill,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howden Ganley,24,0,0,,,0,,,0,0,,,,,,,
Henri Pescarolo,25,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
Richard Robarts,26,0,0,,,0,,,,,,,,0,,0,
François Migault,27,0,0,,0,0,,0,0,0,0,0,0,0,0,,
Guy Edwards,28,0,0,,0,0,,0,0,0,,0,0,,0,0,
Rikky von Opel,29,0,0,,0,,,0,,,,0,0,,0,0,
Dave Charlton,30,0,,,,,,,,,,,,0,,,
Ian Scheckter,31,0,,0,,,,,,,,,,0,,,
Eddie Keizan,32,0,,,,,,,,,,,,0,,,
Paddy Driver,33,0,,,,,,,,,,,,0,,,
Tom Belsø,34,0,,,,,,,,0,,,,0,0,0,
Brian Redman,35,0,,,0,,,,,,,0,,,0,,
Chris Amon,36,0,,,,,0,,0,,0,0,,,0,,0
Tim Schenken,37,0,,0,0,,,,0,0,0,0,0,,0,,0
Vern Schuppan,38,0,,,0,,,0,0,0,,0,0,,,0,
Teddy Pilette,39,0,,,0,,,,,,,,,,,,
Gérard Larrousse,40,0,,,0,,,0,,,,,,,,,
Gijs van Lennep,41,0,,,0,,,,,,,,0,,,,
Leo Kinnunen,42,0,,0,0,,,0,,0,0,,,,,0,
Reine Wisell,43,0,,,,,,,,,,,,,,0,
Bertil Roos,44,0,,,,,,,,,,,,,,0,
Jean-Pierre Jabouille,45,0,,0,,,,0,,,,,,,,,
José Dolhem,46,0,,,,,,0,,,0,,,,,,0
Peter Gethin,47,0,,,,,,,,0,,,,,,,
David Purley,48,0,,,,,,,,0,,,,,,,
Derek Bell,49,0,,0,,,0,,0,0,0,,,,,,
Lella Lombardi,50,0,,,,,,,,0,,,,,,,
John Nicholson,51,0,,,,,,,,0,,,,,,,
Mike Wilds,52,0,,0,,,0,,,0,0,,,,,,0
Jacques Laffite,53,0,,0,,,0,,0,,0,,,,,,0
Ian Ashley,54,0,,0,,,0,,0,,,,,,,,0
Larry Perkins,55,0,,,,,,,0,,,,,,,,
Rolf Stommelen,56,0,,0,,,0,,,,0,,,,,,0
David Hobbs,57,0,,0,,,,,,,0,,,,,,
Dieter Quester,58,0,,0,,,,,,,,,,,,,
Helmuth Koinigg,59,0,,0,,,0,,,,,,,,,,0
Carlo Facetti,60,0,,,,,,,,,0,,,,,,
Mark Donohue,61,0,,,,,0,,,,,,,,,,0
Eppie Wietzes,62,0,,,,,0,,,,,,,,,,
