Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Damon Hill,2,Jacques Villeneuve,1
Ferrari,2,6,Eddie Irvine,5,Michael Schumacher,3
Benetton,3,4,Gerhard Berger,6,Jean Alesi,4
Sauber,4,3,Johnny Herbert,8,Heinz-Harald Frentzen,7
Tyrrell,5,2,Ukyo Katayama,12,Mika Salo,11
Minardi,6,1,Pedro Lamy,16,Giovanni Lavaggi,15
Jordan,7,0,,,Martin Brundle,9
Ligier,8,0,,,Olivier Panis,10
McLaren,9,0,,,David Coulthard,13
Footwork,10,0,,,Ricardo Rosset,14
