Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Michael Schumacher,2,Rubens Barrichello,1
BAR,2,6,Takuma Sato,4,Jenson Button,3
Williams,3,4,Antônio Pizzonia,7,Juan Pablo Montoya,5
Sauber,4,3,Felipe Massa,12,Giancarlo Fisichella,8
Jaguar,5,2,Christian Klien,13,Mark Webber,9
McLaren,6,1,,,David Coulthard,6
Renault,7,0,,,Jarno Trulli,10
Toyota,8,0,,,Ricardo Zonta,11
Jordan,9,0,,,Nick Heidfeld,14
Minardi,10,0,,,Zsolt Baumgartner,15
