Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Rubens Barrichello,4,Michael Schumacher,1
Renault,2,6,Fernando Alonso,7,Jarno Trulli,5
Sauber,3,4,Giancarlo Fisichella,11,Felipe Massa,8
Toyota,4,3,Olivier Panis,12,Cristiano da Matta,9
BAR,5,2,Takuma Sato,15,Jenson Button,3
Minardi,6,1,Zsolt Baumgartner,16,Gianmaria Bruni,14
Williams,7,0,,,Juan Pablo Montoya,2
McLaren,8,0,,,David Coulthard,6
Jaguar,9,0,,,Christian Klien,10
Jordan,10,0,,,Giorgio Pantano,13
