Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
BAR,1,9,Takuma Sato,6,Jenson Button,2
Sauber,2,6,Felipe Massa,8,Giancarlo Fisichella,7
McLaren,3,4,David Coulthard,9,Kimi Räikkönen,3
Renault,4,3,Jacques Villeneuve,11,Fernando Alonso,4
Ferrari,5,2,Michael Schumacher,12,Rubens Barrichello,1
Jordan,6,1,Timo Glock,15,Nick Heidfeld,13
Williams,7,0,,,Juan Pablo Montoya,5
Jaguar,8,0,,,Mark Webber,10
Toyota,9,0,,,Olivier Panis,14
Minardi,10,0,,,Zsolt Baumgartner,16
