Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Antônio Pizzonia,7,Juan Pablo Montoya,5
BAR,2,6,Takuma Sato,8,Jenson Button,2
Jaguar,3,4,Christian Klien,10,Mark Webber,6
Renault,4,3,Jarno Trulli,11,Fernando Alonso,3
Ferrari,5,2,Rubens Barrichello,12,Michael Schumacher,1
Sauber,6,1,Felipe Massa,13,Giancarlo Fisichella,9
Minardi,7,0,Gianmaria Bruni,17,Zsolt Baumgartner,16
McLaren,8,0,,,David Coulthard,4
Toyota,9,0,,,Olivier Panis,14
Jordan,10,0,,,Giorgio Pantano,15
